d_over_d,l_over_d,r_foot_over_r,mach,eta_capture,sigma_over_rho,f_dip,f_highv
0.0,0.3,0.3,5.0,0.8809010948946876,0.6,0.6915073594923297,0.7179343923391703
0.1,0.3,0.3,5.0,1.0162908246174955,0.6,0.7977882973247339,0.8282770220632588
0.15,0.3,0.3,5.0,1.0285349712766627,0.6,0.8073999524521801,0.8382560015904801
0.0,0.3,0.5,5.0,0.8707558680684422,0.6,0.6835433564337271,0.7096660324757803
0.1,0.3,0.5,5.0,0.976431393565716,0.6,0.766498643949087,0.7957915857560585
0.15,0.3,0.5,5.0,0.9926209118302818,0.6,0.7792074157867711,0.8089860431416795
0.0,0.3,0.7,5.0,0.8538959995803805,0.6,0.6703083596705987,0.6959252396580101
0.1,0.3,0.7,5.0,0.9477213402523849,0.6,0.743961252098122,0.7723928923056936
0.15,0.3,0.7,5.0,0.928734602277554,0.6,0.7290566627878798,0.7569187008562065
0.0,0.6,0.3,5.0,0.8283643718887855,1.2,0.6502660319326966,0.6751169630893602
0.1,0.6,0.3,5.0,0.8935022428903932,1.2,0.7013992606689585,0.7282043279556704
0.15,0.6,0.3,5.0,0.9231561765234112,1.2,0.7246775985708778,0.7523722838665801
0.0,0.6,0.5,5.0,0.810548022776118,1.2,0.6362801978792526,0.6605966385625361
0.1,0.6,0.5,5.0,0.9230456035850485,1.2,0.724590798814263,0.7522821669218145
0.15,0.6,0.5,5.0,0.9157898448407082,1.2,0.7188950281999559,0.7463687235451771
0.0,0.6,0.7,5.0,0.7782828501315854,1.2,0.6109520373532945,0.634300522857242
0.1,0.6,0.7,5.0,0.8710703871642246,1.2,0.6837902539239162,0.709922365538843
0.15,0.6,0.7,5.0,0.8680416045076419,1.2,0.6814126595384988,0.7074539076737281
0.0,1.0,0.3,5.0,0.7667926627688644,2.0,0.6019322402735585,0.6249360201566244
0.1,1.0,0.3,5.0,0.7950891036336475,2.0,0.6241449463524132,0.6479976194614226
0.15,1.0,0.3,5.0,0.8489254940980514,2.0,0.6664065128669703,0.6918742776899118
0.0,1.0,0.5,5.0,0.7329016984715795,2.0,0.5753278333001899,0.5973148842543372
0.1,1.0,0.5,5.0,0.8424308768373747,2.0,0.6613082383173391,0.6865811646224603
0.15,1.0,0.5,5.0,0.8705297251708933,2.0,0.6833658342591512,0.7094817260142781
0.0,1.0,0.7,5.0,0.6770187396738214,2.0,0.5314597106439498,0.5517702728341645
0.1,1.0,0.7,5.0,0.7892796658376349,2.0,0.6195845376825433,0.6432629276576723
0.15,1.0,0.7,5.0,0.787461995968461,2.0,0.6181576668352419,0.6417815267142957
0.0,0.3,0.3,10.0,0.8870256594845384,0.6,0.6963151426953625,0.7229259124798987
0.1,0.3,0.3,10.0,1.0556430217108015,0.6,0.828679772042979,0.8603490626943031
0.15,0.3,0.3,10.0,1.052925561674254,0.6,0.8265465659142894,0.858134332764517
0.0,0.3,0.5,10.0,0.8811733086736138,0.6,0.6917210473087867,0.7181562465689951
0.1,0.3,0.5,10.0,0.9988191302435787,0.6,0.7840730172412093,0.8140375911485166
0.15,0.3,0.5,10.0,1.024108531059343,0.6,0.8039251968815841,0.8346484528133644
0.0,0.3,0.7,10.0,0.8669548335527832,0.6,0.6805595443389347,0.7065681893455183
0.1,0.3,0.7,10.0,0.9625265944294884,0.6,0.7555833766271484,0.784459174460033
0.15,0.3,0.7,10.0,0.9346061063816694,0.6,0.7336657935096104,0.7617039767010605
0.0,0.6,0.3,10.0,0.8412464876918979,1.2,0.6603784928381398,0.6856158874688968
0.1,0.6,0.3,10.0,0.9156639502596535,1.2,0.7187962009538279,0.7462661194616176
0.15,0.6,0.3,10.0,0.9592901655328971,1.2,0.7530427799433241,0.7818214849093111
0.0,0.6,0.5,10.0,0.8274867377478605,1.2,0.6495770891320705,0.6744016912645063
0.1,0.6,0.5,10.0,0.9468056393684506,1.2,0.7432424269042337,0.7716465960852872
0.15,0.6,0.5,10.0,0.9115643728836568,1.2,0.7155780327136705,0.7429249639001803
0.0,0.6,0.7,10.0,0.802056376958784,1.2,0.6296142559126453,0.6536759472214089
0.1,0.6,0.7,10.0,0.8882826784209701,1.2,0.6973019025604614,0.7239503829130906
0.15,0.6,0.7,10.0,0.8773793482160398,1.2,0.6887427883495911,0.7150641687960724
0.0,1.0,0.3,10.0,0.786285358899923,2.0,0.6172340067364395,0.6408225675034372
0.1,1.0,0.3,10.0,0.8092251164651573,2.0,0.6352417164251484,0.6595184699191031
0.15,1.0,0.3,10.0,0.8665502410664365,2.0,0.6802419392371526,0.7062384464691457
0.0,1.0,0.5,10.0,0.7622765391914185,2.0,0.5983870832652635,0.6212553794410061
0.1,1.0,0.5,10.0,0.8652473563500443,2.0,0.6792191747347848,0.7051765954252861
0.15,1.0,0.5,10.0,0.8903378194594563,2.0,0.6989151882756731,0.7256253228594569
0.0,1.0,0.7,10.0,0.7199868586253161,2.0,0.5651896840208731,0.5867892897796325
0.1,1.0,0.7,10.0,0.8402929176750235,2.0,0.6596299403748933,0.6848387279051441
0.15,1.0,0.7,10.0,0.8010271707414726,2.0,0.6288063290320559,0.6528371441543
